rank,kiinteistotunnus,mcdm_score,area_ha,score_grid,score_hv,score_urban,score_dc,score_gen,score_size,score_zoning
1,49440300210086,7.9,28.0,6.0,9.8,6.4,,8.9,2.0,3.0
2,49440100530034,7.1,20.0,6.0,10.0,6.0,,7.4,1.1,3.0
3,79143200110097,6.9,52.4,6.0,8.9,5.8,,3.8,4.7,3.0
4,49440300350116,6.9,18.9,6.0,10.0,6.4,,8.5,1.0,3.0
5,79143200100050,6.9,24.3,6.0,8.6,5.7,,3.8,1.6,3.0
6,49440100030034,6.9,18.0,6.0,9.6,5.7,,7.1,0.9,3.0
7,74841700170004,6.9,17.6,6.0,9.4,5.9,,5.6,0.8,3.0
8,49440300290107,6.8,10.7,6.0,9.6,6.8,,9.2,0.1,3.0
9,49440300120275,6.8,10.2,6.0,9.4,6.9,,9.2,0.0,3.0
10,79143200750000,6.8,50.2,6.0,9.5,5.9,,3.5,4.5,3.0
11,49440300120032,6.7,12.2,6.0,9.4,6.9,,9.1,0.2,3.0
12,49440300980000,6.6,11.7,6.0,9.1,6.9,,8.8,0.2,3.0
13,49440300820018,6.5,21.4,6.0,10.0,6.6,,9.3,1.3,3.0
14,49440100030028,6.5,20.4,6.0,9.6,5.7,,7.0,1.2,3.0
15,49440300040048,6.5,20.4,6.0,9.8,5.8,,7.1,1.2,3.0
16,49440300020559,6.5,15.3,6.0,9.8,6.0,,8.1,0.6,3.0
17,49440300230029,6.4,31.4,6.0,9.7,6.6,,8.7,2.4,3.0
18,49440300040139,6.3,17.8,6.0,9.5,5.6,,6.7,0.9,3.0
19,49440300600014,6.3,68.6,6.0,9.9,6.5,,9.1,6.5,3.0
20,49440300350014,6.3,10.6,6.0,9.9,6.7,,9.4,0.1,3.0
